Sub, eta1, eta2, beta1, beta2, lambda, w, p, LL,RT1
1,0.0912249994,0.0621853354,3.5661351593,5.3421520318,0.999999,0,0.1543660662,236.300116005,689.4179104478
7,0.5835332976,0.1062451293,1.1496039259,3.1064015221,0.6776126143,0,-0.1408741073,268.3336562455,514.1691542289
9,0.9192026019,0.999999,0.9533652824,0.2623644726,0.999999,0,-0.0810038859,267.6403161193,739.93
14,0.2135346153,0.2810921768,2.5631339408,8.2001851398,0.999999,0,0.4406299362,141.6430408009,942.8080808081
5,0.5812908503,0.4382192912,5.1521567158,5.0216488149,0.999999,0.1252984151,0.2126617005,148.6775809875,725.605
12,0.2666467646,0.2890826417,7.1639517294,4.2421140043,0.407947509,0.3060728085,0.1673629749,186.5799010736,695.3930348259
13,0.8551460758,0.3914845641,5.1937627138,3.5578036473,0.3997891966,0.3339133925,0.2126864781,189.7145880709,586.7
4,0.5082403446,0.694624504,4.1369633161,2.8989132422,0.8930373225,0.3687922602,0.1075097464,205.1684868153,746.8358208955
10,0.496854033,0.7495044016,3.3969811829,3.2992279897,0.7157038593,0.3704208936,0.1709019229,218.0226222354,883.4328358209
3,0.7762077971,0.5490106703,10.0249383969,5.8356280275,0.4184045172,0.3911367441,0.0627780135,135.8175517731,730.1044776119
2,0.9014073866,0.8449149534,6.2303070899,1.6207827168,0.5594684083,0.3948888787,0.0952018532,197.2617655312,848.202020202
17,0.4362769589,0.2297360503,5.9580621622,7.7598001221,0.8266523873,0.4455364533,0.2998851902,119.2087434954,745.5124378109
16,0.999999,0.1578309086,3.0012504439,4.9901676893,0.4849841483,0.5141806931,0.1413476565,217.1435874537,695.785
11,0.999999,0.4200402963,5.3761596692,3.6935942865,0.443242799,0.5459865892,0.2971667407,174.8580889468,666.14
15,0.9423315153,0.870257219,8.2479301381,4.8576909958,0.4178860114,0.7317576487,0.0888234409,174.2630547784,823.7512437811
8,0.5023568026,0.0717357773,15.0401261192,2.0215302301,0.1033517037,0.8049123706,0.0125252915,252.8003238183,770.98
6,0.4523510183,0.4388581368,9.3666183554,2.076744484,0.3979728423,0.8625648072,0.0211181241,224.6641914044,750.8
